OBJECTID,ROUTEID,FROMMEASURE,TOMEASURE,ROUTENAME,CORRIDORID,FROMSTREET,TOSTREET,LENGTH_MI,TIER_1,TIER_2,TIER_3,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,SHAPELEN
27,11085732,0,252.5357,THOMAS CIR NW,11085732_1,14TH ST NW,14TH ST NW,0.15691811,0,1,0,HIN_CorridorsLn_27,,{C138FB6C-2D9D-4E35-B280-E34CDFA3F222},0
28,11087232,903.1984,2438.2682,U ST NW,11087232_3,9TH ST NW/FLORIDA AVE NW,18TH ST NW/VERNON ST NW,0.95384685,1,0,0,HIN_CorridorsLn_28,,{00AC895F-937B-4BE6-8B24-9708DB91137A},0
29,11089892,0,4.8668,CONSTITUTION AVE NW,11025352_2,PENNSYLVANIA AVE NW,INTERSTATE 66   BN,2.07097172,0,0,1,HIN_CorridorsLn_29,,{A7A902EA-8022-48B0-BF9E-E067E427C7B1},0
30,11094052,0,6919.754,WISCONSIN AVE NW,11094052_1,K ST NW/WATER ST NW,RESERVOIR RD NW/37TH ST NW,4.29972725,0,0,1,HIN_CorridorsLn_30,,{EE8C26F8-1758-4341-9968-CD06114659EF},0
31,12015342,0,4233.854,BENNING RD NE,12015342_1,15TH ST NE/BLADENSBURG RD NE/H ST NE/MARYLAND AVE NE,BENNING RD SE/EAST CAPITOL ST BN,2.63078961,1,0,0,HIN_CorridorsLn_31,,{3CAB9E4D-78AE-47A1-900C-78D2A637A43D},0
32,12015992,0,4140.0769,BLADENSBURG RD NE,12015992_1,15TH ST NE/BENNING RD NE/H ST NE/MARYLAND AVE NE,BENNING RD SE/EAST CAPITOL ST BN,2.57251937,0,1,0,HIN_CorridorsLn_32,,{7D96C07C-7388-46C0-91E6-7E61E114C0F9},0
33,12023852,0,446.6336,CLERMONT DR NE,12023852_1,FORT DR NE,53RD ST NE,0.27752469,1,0,0,HIN_CorridorsLn_33,,{969E1251-8578-4783-B16D-C719E6599830},0
34,12024732,0,277.1218,COLUMBUS CIR NE,12024732_1,1ST ST NE/MASSACHUSETTS AVE NE,F ST NE,0.25713852,0,1,0,HIN_CorridorsLn_34,,{87405929-04B4-4D49-86A3-E1BE33522E3E},0
35,12024732A,0,233.541,COLUMBUS CIR NE,12024732A_1,COLUMBUS CIR NE,Ramp-36005892/COLUMBUS CIR NE,0.1451151,0,1,0,HIN_CorridorsLn_35,,{B317ED72-1CAF-47CB-99F3-DFBF4661783F},0
36,12031982,0,3053.688,EASTERN AVE NE,12031982_1,SOUTHERN AVE NE,KENILWORTH AVE NE,1.89746992,1,0,0,HIN_CorridorsLn_36,,{6F4F6534-810B-4875-9B1C-27CFB874509A},0
37,12036722,0,2458.9508,FLORIDA AVE NE,12036722_1,FLORIDA AVE NW/NORTH CAPITOL ST BN,H ST NE,1.52791813,1,0,0,HIN_CorridorsLn_37,,{7E0D5E8C-F3EA-4985-9446-24501131FE62},0
38,12042442,0,2223.4134,H ST NE,12042442_1,NORTH CAPITOL ST BN/H ST NW,BENNING RD NE/15TH ST NE/BLADENSBURG RD NE/MARYLAND AVE NE,1.38156229,1,0,0,HIN_CorridorsLn_38,,{986D3E0D-4C73-4B18-AFF0-990066F0EE02},0
39,12043812,0,123.3527,HAWAII AVE NE,12043812_1,ROCK CREEK CHURCH RD NW/NORTH CAPITOL ST BN,TAYLOR ST NE,0.66380257,1,0,0,HIN_CorridorsLn_39,,{305B9534-37B7-4095-B244-4BFAFA07258F},0
40,12059602,0,131.3217,MASSACHUSETTS AVE NE,12059602_1,MASSACHUSETTS AVE NW/NORTH CAPITOL ST BN,1ST ST NE/COLUMBUS CIR NE,0.08159937,0,1,0,HIN_CorridorsLn_40,,{CA888260-33A2-48AA-8AF8-6DD4ED1EB31F},0
41,12059602,131.3227,636.994,MASSACHUSETTS AVE NE,12059602_2,COLUMBUS CIR NE,4TH ST NE/C ST NE,0.31420957,0,1,0,HIN_CorridorsLn_41,,{0C5EBE5B-2EEF-439D-8665-60A2239B672E},0
42,12061162,0,1922.3291,MINNESOTA AVE NE,12061162_1,24TH ST NE,RHODE ISLAND AVE NE,1.19447751,1,0,0,HIN_CorridorsLn_42,,{2E165560-6D82-423F-9368-3DCE32A80FA7},0
43,12064672,0,6189.9328,NEW YORK AVE NE,12064672_1,NEW YORK AVE NW/N ST NE,EASTERN AVE NE,3.84623818,1,0,0,HIN_CorridorsLn_43,,{9997B427-0283-4CC6-ABD8-6240E9DA60EB},0
44,12075462,0,4483.0365,RHODE ISLAND AVE NE,12075462_1,RHODE ISLAND AVE NW,JACKSON ST NE/Driveway-58014122,2.78562417,0,1,0,HIN_CorridorsLn_44,,{A2D5FC77-7F5A-4F88-96F3-0E63898E1DBE},0
45,12081512,0,483.684,SOUTHERN AVE NE,12081512_1,SOUTHERN AVE SE/EAST CAPITOL ST BN,EASTERN AVE NE,0.30054673,1,0,0,HIN_CorridorsLn_45,,{531D9A9C-8292-4CB9-B19C-D5427C8D4C59},0
46,13003402,1418.9157,1420.0405,ALABAMA AVE SE,13009362_1,5TH ST SE,BOWEN RD SE/BURNS ST SE/STANLEY ST SE,4.17959494,1,0,0,HIN_CorridorsLn_46,,{AA22AA9F-281A-4EA6-8F3C-20F415727ABB},0
47,13005302,991.928,1138.5084,53RD ST SE,13005302_2,FITCH ST SE,SOUTHERN AVE SE,0.09108129,1,0,0,HIN_CorridorsLn_47,,{21179582-5034-4A48-8512-4FB81F2FD4B0},0
48,13009362,0,6727.773,ALABAMA AVE SE,13009362_1,5TH ST SE,BOWEN RD SE/BURNS ST SE/STANLEY ST SE,4.17959494,1,0,0,HIN_CorridorsLn_48,,{657F53E9-3642-44CF-8863-35CAEFBA0D45},0
49,13015342,0,1653.9325,BENNING RD SE,13015342_1,BENNING RD NE/EAST CAPITOL ST BN,12TH ST SE,1.02770398,1,0,0,HIN_CorridorsLn_49,,{82749318-7263-4B52-ADCE-91D5C0723A54},0
50,13035682,0,714.0376,FIRTH STERLING AVE SE,13035682_1,HOWARD RD SE/Ramp-36003432,SOUTH CAPITOL ST BN/DEFENSE BLVD SW/SOUTH CAPITOL ST BN/ANACOSTIA RIVER TRAIL SW,0.44368149,1,0,0,HIN_CorridorsLn_50,,{8A7BA538-AE4B-4129-904C-1479A4457D4E},0
51,13035812,294.9489,451.6945,FITCH ST SE,13035812_1,51ST ST SE/G ST SE,SOUTHERN AVE SE,0.28066936,1,0,0,HIN_CorridorsLn_51,,{379EC56A-8B2C-4341-9935-1D89C4388762},0
